"だいがく","college; university"
"こうこう","high school"
"がくせい","student"
"だいがくせい","college student"
"りゅうがくせい","international student"
"せんせい","teacher; professor"
"～ねんせい","...year student"
"いちねんせい","first-year student"
"せんこう","major"
"わたし","I"
"ともだち","friend"
"～さん","Mr./Ms. ..."
"～じん","...people"
"にほんじん","Japanese people"
"いま","now"
"ごぜん","A.M."
"ごご","P.M."
"～じ","o'clock"
"いちじ","one o'clock"
"はん","half"
"にじはん","half past two"
"にほん","Japan"
"アメリカ","U.S.A."
"～ご","...language"
"にほんご","Japanese language"
"～さい","...years old"
"でんわ","telephone"
"～ばん","number..."
"ばんごう","number"
"なまえ","name"
"なん／なに","what"
"あのう","um..."
"はい","yes"
"そうです","That's right."
"そうですか","I see.; Is that so?"
"イギリス","Britain"
"オーストラリア","Australia"
"かんこく","Korea"
"カナダ","Canada"
"ちゅうごく","China"
"インド","India"
"エジプト","Egypt"
"フィリピン","Philippines"
"にほん","Japan"
"アメリカ","U.S.A."
"くに","Country"
"アジアけんきゅう","Asian studies"
"けいざい","economics"
"こうがく","engineering"
"こくさいかんけい","international relations"
"コンピューター","computer"
"せいじ","politics"
"せいぶつがく","biology"
"ビジネス","business"
"ぶんがく","literature"
"れきし","history"
"せんこう","major"
"いしゃ","doctor"
"かいしゃいん","office worker"
"かんごし","nurse"
"こうこうせい","high school student"
"しゅふ","housewife"
"だいがくいんせい","graduate student"
"べんごし","lawyer"
"しごと","job; occupation"
"おかあさん","mother"
"おとうさん","father"
"おねえさん","older sister"
"おにいさん","older brother"
"いもうと","younger sister"
"おとうと","younger brother"
"かぞく","family"
"～ねんせい","...year student"
"いちねんせい","first-year student"
"にねんせい","second-year student"
"さんねんせい","third-year student"
"よねんせい","fourth-year student"
"ごねんせい","fifth-year student"
"ろくねんせい","sixth-year student"
"～さい","...years old"
"いっさい","one year old"
"にさい","two years old"
"さんさい","three years old"
"よんさい","four years old"
"ごさい","five years old"
"ろくさい","six years old"
"ななさい","seven years old"
"はっさい","eight years old"
"きゅうさい","nine years old"
"じ(ゅ)っさい","ten years old"
"じゅういっさい","eleven years old"
"はたち／にじ(ゅ)っさい","twenty years old"
"にじゅういっさい","twenty-one years old"
"さんじゅうごさい","thirty-five years old"
"よんじ(ゅ)っさい","forty years old"
"いちじ","01:00"
"にじ","02:00"
"さんじ","03:00"
"よじ","04:00"
"ごじ","05:00"
"ろくじ","06:00"
"しちじ","07:00"
"はちじ","08:00"
"くじ","09:00"
"じゅうじ","10:00"
"じゅういちじ","11:00"
"じゅうにじ","12:00"
"いちじはん","01:30"
"いっぷん","00:01"
"にふん","00:02"
"さんぷん","00:03"
"よんぷん","00:04"
"ごふん","00:05"
"ろっぷん","00:06"
"ななふん","00:07"
"はっぷん／はちふん","00:08"
"きゅうふん","00:09"
"じ(ゅ)っぷん","00:10"
"じゅういっぷん","00:11"
"じゅうにふん","00:12"
"じゅうさんぷん","00:13"
"じゅうよんぷん","00:14"
"じゅうごふん","00:15"
"じゅうろっぷん","00:16"
"じゅうななふん","00:17"
"じゅうはっぷん／じゅうはちふん","00:18"
"じゅうきゅうふん","00:19"
"にじ(ゅ)っぷん","00:20"
"さんじ(ゅ)っぷん","00:30"
"これ","this one"
"それ","that one"
"あれ","that one (over there)"
"どれ","which one"
"この","this..."
"その","that..."
"あの","that... (over there)"
"どの","which..."
"ここ","here"
"そこ","there"
"あそこ","over there"
"どこ","where"
"だれ","who"
"おいしい","delicious"
"さかな","fish"
"とんかつ","pork cutlet"
"にく","meat"
"メニュー","menu"
"やさい","vegetable"
"かさ","umbrella"
"かばん","bag"
"くつ","shoes"
"さいふ","wallet"
"ジーンズ","jeans"
"じてんしゃ","bicycle"
"しんぶん","newspaper"
"スマホ","smartphone; mobile"
"Tシャツ","T-shirt"
"とけい","watch; clock"
"ノート","notebook"
"ペン","pen"
"ぼうし","hat; cap"
"ほん","book"
"ぎんこう","bank"
"コンビニ","convenience store"
"トイレ","toilet; restroom"
"としょかん","library"
"ゆうびんきょく","post office"
"イギリス","Britain"
"かんこく","Korea"
"ちゅうごく","China"
"えいご","English (language)"
"けいざい","economics"
"コンピューター","computer"
"ビジネス","business"
"れきし","history"
"おかあさん","mother"
"おとうさん","father"
"いくら","how much"
"～えん","...yen"
"たかい","expensive; high"
"いらっしゃいませ","Welcome (to our store)."
"（～を）おねがいします","..., please."
"（～を）ください","Please give me..."
"じゃあ","then...; if that is the case,..."
"どうぞ","Please.; Here it is."
"どうも","Thank you."
"ひゃく","100"
"にひゃく","200"
"さんびゃく","300"
"よんひゃく","400"
"ごひゃく","500"
"ろっぴゃく","600"
"ななひゃく","700"
"はっぴゃく","800"
"きゅうひゃく","900"
"せん","1,000"
"にせん","2,000"
"さんぜん","3,000"
"よんせん","4,000"
"ごせん","5,000"
"ろくせん","6,000"
"ななせん","7,000"
"はっせん","8,000"
"きゅうせん","9,000"
"いちまん","10,000"
"にまん","20,000"
"さんまん","30,000"
"よんまん","40,000"
"ごまん","50,000"
"ろくまん","60,000"
"ななまん","70,000"
"はちまん","80,000"
"きゅうまん","90,000"
"ていしょく","set meal; special (of the day)"
"パスタ","pasta"
"カレー","curry"
"そば","soba"
"うどん","udon"
"サンドイッチ","sandwich"
"アイスクリーム","ice cream"
"ラーメン","ramen"
"ハンバーガー","hamburger"
"コーヒー","coffee"
"コーラ","cola"
"サラダ","salad"
"こうちゃ","black tea"
"ジュース","juice"
"ミルク","milk"
"こくばん","blackboard"
"でんき","light"
"ドア","door"
"カーテン","curtain"
"まど","window"
"いす","chair"
"つくえ","desk"
"けしゴム","eraser"
"ほん","book"
"じしょ","dictionary"
"えんぴつ","pencil"
"わかりましたか。","Do you understand?"
"わかりました。","I understand./I understood."
"わかりません。","I don't understand./I don't know."
"ゆっくりいってください。","Please say it slowly."
"もういちどいってください。","Please say it again."
"ちょっとまってください。","Please wait for a while."
"きいてください。","Please listen./Please ask."
"10ページをみてください。","Please look at page 10."
"<ruby>映画<rt>えいが</rt></ruby>","movie"
"<ruby>音楽<rt>おんがく</rt></ruby>","music"
"<ruby>雑誌<rt>ざっし</rt></ruby>","magazine"
"スポーツ","sports"
"デート","date (romantic, not calendar)"
"テニス","tennis"
"テレビ","TV"
"アイスクリーム","ice cream"
"ハンバーガー","hamburger"
"<ruby>お酒<rt>おさけ</rt></ruby>","sake; alcoholic drink"
"<ruby>お茶<rt>おちゃ</rt></ruby>","green tea"
"コーヒー","coffee"
"<ruby>水<rt>みず</rt></ruby>","water"
"<ruby>朝ご飯<rt>あさごはん</rt></ruby>","breakfast"
"<ruby>昼ご飯<rt>ひるごはん</rt></ruby>","lunch"
"<ruby>晩ご飯<rt>ばんごはん</rt></ruby>","dinner"
"<ruby>家<rt>いえ</rt></ruby>","home; house"
"うち","home; house; my place"
"<ruby>学校<rt>がっこう</rt></ruby>","school"
"カフェ","cafe"
"<ruby>明日<rt>あした</rt></ruby>","tomorrow"
"<ruby>今日<rt>きょう</rt></ruby>","today"
"<ruby>朝<rt>あさ</rt></ruby>","morning"
"<ruby>今晩<rt>こんばん</rt></ruby>","tonight"
"<ruby>毎日<rt>まいにち</rt></ruby>","every day"
"<ruby>毎晩<rt>まいばん</rt></ruby>","every night"
"<ruby>週末<rt>しゅうまつ</rt></ruby>","weekend"
"<ruby>土曜日<rt>どようび</rt></ruby>","Saturday"
"<ruby>日曜日<rt>にちようび</rt></ruby>","Sunday"
"いつ","when"
"～ごろ","at about..."
"<ruby>行く<rt>いく</rt></ruby>","to go <small>(<em>destination</em> に/へ)</small>"
"<ruby>帰る<rt>かえる</rt></ruby>","to go back; to return <small>(<em>destination</em> に/へ)</small>"
"<ruby>聞く<rt>きく</rt></ruby>","to listen; to hear <small>(～を)</small>"
"<ruby>飲む<rt>のむ</rt></ruby>","to drink <small>(～を)</small>"
"<ruby>話す<rt>はなす</rt></ruby>","to speak; to talk <small>(<em>language</em> を/で)</small>"
"<ruby>読む<rt>よむ</rt></ruby>","to read <small>(～を)</small>"
"<ruby>一<rt>いち</rt></ruby>","one"
"<ruby>一時<rt>いちじ</rt></ruby>","one o'clock"
"<ruby>一年生<rt>いちねんせい</rt></ruby>","first-year student"
"<ruby>一分<rt>いっぷん</rt></ruby>","one minute"
"<ruby>一つ<rt>ひとつ</rt></ruby>","one (～つ)"
"<ruby>二<rt>に</rt></ruby>","two"
"<ruby>二時<rt>にじ</rt></ruby>","two o'clock"
"<ruby>二年生<rt>にねんせい</rt></ruby>","second-year student"
"<ruby>二つ<rt>ふたつ</rt></ruby>","two (～つ)"
"<ruby>二日間<rt>ふつかかん</rt></ruby>","two days"
"<ruby>三<rt>さん</rt></ruby>","three"
"<ruby>三時<rt>さんじ</rt></ruby>","three o'clock"
"<ruby>三年生<rt>さんねんせい</rt></ruby>","third-year student"
"<ruby>三月<rt>さんがつ</rt></ruby>","March"
"<ruby>三つ<rt>みっつ</rt></ruby>","three (～つ)"
"<ruby>起きる<rt>おきる</rt></ruby>","to get up"
"<ruby>食べる<rt>たべる</rt></ruby>","to eat <small>(～を)</small>"
"<ruby>寝る<rt>ねる</rt></ruby>","to sleep; to go to sleep"
"<ruby>見る<rt>みる</rt></ruby>","to see; to look at; to watch <small>(～を)</small>"
"<ruby>来る<rt>くる</rt></ruby>","to come <small>(<em>destination</em> に/へ)</small>"
"する","to do <small>(～を)</small>"
"<ruby>勉強する<rt>べんきょうする</rt></ruby>","to study <small>(～を)</small>"
"<ruby>四<rt>よん</rt></ruby>","four"
"<ruby>四時<rt>よじ</rt></ruby>","four o'clock"
"<ruby>四年生<rt>よねんせい</rt></ruby>","fourth-year student"
"<ruby>四月<rt>しがつ</rt></ruby>","April"
"<ruby>四つ<rt>よっつ</rt></ruby>","four (～つ)"
"<ruby>五<rt>ご</rt></ruby>","five"
"<ruby>五時<rt>ごじ</rt></ruby>","five o'clock"
"<ruby>五月<rt>ごがつ</rt></ruby>","May"
"<ruby>五歳<rt>ごさい</rt></ruby>","five years old"
